latitude,longitude,depth,muck_thickness,spring'16,fall'15,spring'15,fall'14,spring'14,fall'13,spring'13,fall'12,spring'12,fall'11,spring'11,fall'10,spring'10,fall'09,spring'09,fall'08,spring'08,fall'07,spring'07,fall'06,spring'06,fall'05
28.03920169,-80.57967347,-14,3,-11,-11.022,-11.044044,-11.06613209,-11.08826435,-11.11044088,-11.13266176,-11.15492709,-11.17723694,-11.19959141,-11.2219906,-11.24443458,-11.26692345,-11.28945729,-11.31203621,-11.33466028,-11.3573296,-11.38004426,-11.40280435,-11.42560996,-11.44846118,-11.56294579
28.04333201,-80.57957062,-4,1,-3,-3.006,-3.012012,-3.018036024,-3.024072096,-3.03012024,-3.036180481,-3.042252842,-3.048337347,-3.054434022,-3.06054289,-3.066663976,-3.072797304,-3.078942898,-3.085100784,-3.091270986,-3.097453528,-3.103648435,-3.109855732,-3.116075443,-3.122307594,-3.15353067
28.04289359,-80.57957062,-4,2.5,-1.5,-1.503,-1.506006,-1.509018012,-1.512036048,-1.51506012,-1.51809024,-1.521126421,-1.524168674,-1.527217011,-1.530271445,-1.533331988,-1.536398652,-1.539471449,-1.542550392,-1.545635493,-1.548726764,-1.551824217,-1.554927866,-1.558037722,-1.561153797,-1.576765335
28.04241672,-80.57957062,-6,3,-3,-3.006,-3.012012,-3.018036024,-3.024072096,-3.03012024,-3.036180481,-3.042252842,-3.048337347,-3.054434022,-3.06054289,-3.066663976,-3.072797304,-3.078942898,-3.085100784,-3.091270986,-3.097453528,-3.103648435,-3.109855732,-3.116075443,-3.122307594,-3.15353067
28.04196293,-80.57957062,-6,3.5,-2.5,-2.505,-2.51001,-2.51503002,-2.52006008,-2.5251002,-2.530150401,-2.535210701,-2.540281123,-2.545361685,-2.550452408,-2.555553313,-2.56066442,-2.565785749,-2.57091732,-2.576059155,-2.581211273,-2.586373696,-2.591546443,-2.596729536,-2.601922995,-2.627942225
28.04152451,-80.57957062,-6,3.5,-2.5,-2.505,-2.51001,-2.51503002,-2.52006008,-2.5251002,-2.530150401,-2.535210701,-2.540281123,-2.545361685,-2.550452408,-2.555553313,-2.56066442,-2.565785749,-2.57091732,-2.576059155,-2.581211273,-2.586373696,-2.591546443,-2.596729536,-2.601922995,-2.627942225
28.04102457,-80.57957231,-8,4,-4,-4.008,-4.016016,-4.024048032,-4.032096128,-4.04016032,-4.048240641,-4.056337122,-4.064449796,-4.072578696,-4.080723853,-4.088885301,-4.097063072,-4.105257198,-4.113467712,-4.121694648,-4.129938037,-4.138197913,-4.146474309,-4.154767258,-4.163076792,-4.20470756
28.04055539,-80.57957231,-12,4.5,-7.5,-7.515,-7.53003,-7.54509006,-7.56018024,-7.575300601,-7.590451202,-7.605632104,-7.620843368,-7.636085055,-7.651357225,-7.66665994,-7.68199326,-7.697357246,-7.712751961,-7.728177465,-7.743633819,-7.759121087,-7.774639329,-7.790188608,-7.805768985,-7.883826675
28.04010928,-80.579574,-13,5.5,-7.5,-7.515,-7.53003,-7.54509006,-7.56018024,-7.575300601,-7.590451202,-7.605632104,-7.620843368,-7.636085055,-7.651357225,-7.66665994,-7.68199326,-7.697357246,-7.712751961,-7.728177465,-7.743633819,-7.759121087,-7.774639329,-7.790188608,-7.805768985,-7.883826675
28.03965549,-80.57957737,-15,7,-8,-8.016,-8.032032,-8.048096064,-8.064192256,-8.080320641,-8.096481282,-8.112674244,-8.128899593,-8.145157392,-8.161447707,-8.177770602,-8.194126144,-8.210514396,-8.226935425,-8.243389295,-8.259876074,-8.276395826,-8.292948618,-8.309534515,-8.326153584,-8.40941512
28.03920169,-80.579574,-15,5.5,-9.5,-9.519,-9.538038,-9.557114076,-9.576228304,-9.595380761,-9.614571522,-9.633800665,-9.653068267,-9.672374403,-9.691719152,-9.71110259,-9.730524795,-9.749985845,-9.769485817,-9.789024788,-9.808602838,-9.828220044,-9.847876484,-9.867572237,-9.887307381,-9.986180455
28.04380888,-80.57946272,-6,1,-5,-5.01,-5.02002,-5.03006004,-5.04012016,-5.0502004,-5.060300801,-5.070421403,-5.080562246,-5.09072337,-5.100904817,-5.111106626,-5.12132884,-5.131571497,-5.14183464,-5.15211831,-5.162422546,-5.172747391,-5.183092886,-5.193459072,-5.20384599,-5.25588445
28.04333201,-80.57946103,-7,2.5,-4.5,-4.509,-4.518018,-4.527054036,-4.536108144,-4.54518036,-4.554270721,-4.563379263,-4.572506021,-4.581651033,-4.590814335,-4.599995964,-4.609195956,-4.618414348,-4.627651176,-4.636906479,-4.646180292,-4.655472652,-4.664783598,-4.674113165,-4.683461391,-4.730296005
28.0428859,-80.57946272,-8,3.5,-4.5,-4.509,-4.518018,-4.527054036,-4.536108144,-4.54518036,-4.554270721,-4.563379263,-4.572506021,-4.581651033,-4.590814335,-4.599995964,-4.609195956,-4.618414348,-4.627651176,-4.636906479,-4.646180292,-4.655472652,-4.664783598,-4.674113165,-4.683461391,-4.730296005
28.04242441,-80.57946441,-9,4.5,-4.5,-4.509,-4.518018,-4.527054036,-4.536108144,-4.54518036,-4.554270721,-4.563379263,-4.572506021,-4.581651033,-4.590814335,-4.599995964,-4.609195956,-4.618414348,-4.627651176,-4.636906479,-4.646180292,-4.655472652,-4.664783598,-4.674113165,-4.683461391,-4.730296005
28.04197062,-80.57946441,-13,5,-8,-8.048,-8.096288,-8.112480576,-8.161155459,-8.210122392,-8.259383127,-8.275901893,-8.292453697,-8.342208419,-8.392261669,-8.409046193,-8.425864285,-8.476419471,-8.49337231,-8.510359054,-8.527379772,-8.578544051,-8.595701139,-8.612892541,-8.630118326,-8.71641951
28.04151682,-80.57946609,-15,5,-10,-10.02,-10.04004,-10.06012008,-10.08024032,-10.1004008,-10.1206016,-10.14084281,-10.16112449,-10.18144674,-10.20180963,-10.22221325,-10.24265768,-10.26314299,-10.28366928,-10.30423662,-10.32484509,-10.34549478,-10.36618577,-10.38691814,-10.40769198,-10.5117689
28.04102457,-80.57946441,-14,5,-9,-9.018,-9.036036,-9.054108072,-9.072216288,-9.090360721,-9.108541442,-9.126758525,-9.145012042,-9.163302066,-9.18162867,-9.199991928,-9.218391912,-9.236828695,-9.255302353,-9.273812957,-9.292360583,-9.310945305,-9.329567195,-9.34822633,-9.366922782,-9.46059201
28.04056308,-80.57946272,-14,4,-10,-10.02,-10.04004,-10.06012008,-10.08024032,-10.1004008,-10.1206016,-10.14084281,-10.16112449,-10.18144674,-10.20180963,-10.22221325,-10.24265768,-10.26314299,-10.28366928,-10.30423662,-10.32484509,-10.34549478,-10.36618577,-10.38691814,-10.40769198,-10.5117689
28.04010159,-80.57946441,-15,5,-10,-10.02,-10.04004,-10.06012008,-10.08024032,-10.1004008,-10.1206016,-10.14084281,-10.16112449,-10.18144674,-10.20180963,-10.22221325,-10.24265768,-10.26314299,-10.28366928,-10.30423662,-10.32484509,-10.34549478,-10.36618577,-10.38691814,-10.40769198,-10.5117689
28.0396478,-80.57946778,-15,7,-8,-8.016,-8.032032,-8.048096064,-8.064192256,-8.080320641,-8.096481282,-8.112674244,-8.128899593,-8.145157392,-8.161447707,-8.177770602,-8.194126144,-8.210514396,-8.226935425,-8.243389295,-8.259876074,-8.276395826,-8.292948618,-8.309534515,-8.326153584,-8.40941512
28.03920169,-80.57946609,-16,3.5,-12.5,-12.75,-12.7755,-13.03101,-13.05707202,-13.08318616,-13.10935254,-13.13557124,-13.39828267,-13.42507923,-13.45192939,-13.47883325,-13.50579092,-13.5328025,-13.5598681,-13.58698784,-13.61416181,-13.88644505,-13.91421794,-13.94204638,-14.2208873,-14.36309618
